Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
bow detail dress,,20,"0.80,0.40,0.80,0.20,0.20,0.20,1.00,0.40,0.40,0.60,0.40,0.40",,0.00,
box details,,20,"0.14,0.14,0.29,0.14,1.00,0.14,0.29,0.43,0.14,1.00,0.14,0.14",,0.00,
bpt course details,,20,"0.14,1.00,0.14,0.14,1.00,0.14,0.14,0.14,0.29,0.29,0.14,0.14",,0.00,
br shetty contact details,,20,"0.14,0.14,0.57,0.14,0.57,0.14,0.14,1.00,0.43,0.14,0.29,0.14",,0.00,
bracing details,,20,"0.71,0.14,0.14,0.14,0.14,0.14,0.14,0.57,1.00,0.14,0.14,0.29",,0.00,
brain details,,20,"0.22,0.56,0.11,0.11,0.11,0.11,0.22,0.11,0.11,0.22,1.00,0.11",,0.00,
brass details,,20,"0.14,0.57,0.29,0.14,0.14,1.00,0.14,0.71,0.14,0.43,0.14,0.14",,0.00,
breakup details,,20,"0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.80,0.20,0.20",,0.00,
breeching inlet installation details,,20,"0.60,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,1.00,0.20,0.20",,0.00,
brick cladding details,,20,"0.11,0.00,0.11,0.00,1.00,0.00,0.56,0.00,0.11,0.00,0.33,0.00",,0.00,
brick details,,20,"0.11,0.22,1.00,0.11,0.11,0.11,0.11,0.33,0.11,0.11,0.11,0.11",,0.00,
bridge details,,20,"0.40,0.20,1.00,0.40,0.40,0.20,0.20,0.40,0.20,0.20,0.20,0.40",,0.00,
brief details,,20,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.29,0.14,0.14,0.43,0.14",,0.00,
british airways contact details,,20,"0.20,0.20,0.60,0.20,1.00,0.60,0.20,0.20,0.20,0.20,0.20,0.20",,0.00,
british code for reinforcement detailing,,20,"0.20,0.20,0.20,0.80,1.00,0.60,0.20,0.60,0.60,0.40,0.20,0.00",,0.00,
broker certification details,,20,"0.14,0.29,0.14,0.14,0.14,1.00,0.29,0.14,0.14,0.43,0.14,0.14",,0.00,
brunei country details,,20,"0.33,0.67,1.00,0.33,0.33,0.33,0.33,1.00,0.33,1.00,0.33,0.33",,0.00,
bsc biotechnology course details,,20,"0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.44,0.22,0.44,0.11,0.11",,0.00,
bsc it course details,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.57,0.71,0.14,0.14,0.14,0.14",,0.00,
bsnl 198 plan details,,20,"1.00,0.75,0.25,0.75,0.00,0.25,0.00,0.00,0.00,0.75,0.75,0.00",,0.00,
bsnl 199 plan details,,20,"0.14,1.00,0.14,0.29,0.14,0.14,0.43,0.14,0.14,0.14,0.29,0.14",,0.00,
bsnl landline bill details,,20,"1.00,1.00,0.00,0.00,0.00,0.00,0.11,0.00,0.33,0.00,0.00,0.00",,0.00,
bsnl number details,,20,"0.14,1.00,0.57,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14",,0.00,
bsnl sim details,,20,"0.20,0.80,0.20,0.20,0.20,0.60,0.20,0.40,1.00,0.20,0.20,0.80",,0.00,
btu meter connection details,,20,"0.11,1.00,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,
btu meter installation details,,20,"0.40,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.20",,0.00,
buddha details,,20,"0.00,0.22,0.56,1.00,0.00,0.00,0.00,0.00,0.11,0.56,0.00,0.11",,0.00,
buggy elodie details,,20,"0.14,0.00,0.14,1.00,0.14,0.71,0.14,0.29,0.14,0.14,0.00,0.00",,0.00,
building section details,,20,"0.14,1.00,0.14,0.14,0.29,0.14,0.14,0.71,0.14,0.14,0.29,0.43",,0.00,
bulkhead ceiling construction detail,,20,"0.29,0.14,1.00,0.14,0.43,0.29,0.43,0.57,0.14,0.14,0.14,0.29",,0.00,
burj al arab contact details,,20,"0.11,0.00,0.11,0.11,1.00,0.11,0.11,0.00,0.33,0.33,0.11,0.00",,0.00,
burj al arab details,,20,"0.33,0.67,1.00,0.33,0.33,0.67,0.67,0.67,0.67,0.33,0.67,0.33",,0.00,
burj khalifa all details,,20,"0.25,0.50,0.25,0.25,0.25,0.25,1.00,0.25,1.00,0.50,0.25,0.75",,0.00,
burj khalifa construction details,,20,"0.20,0.40,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.40,0.20",,0.00,
burj khalifa details in english,,20,"0.11,0.11,0.22,0.11,0.22,1.00,0.22,0.11,0.11,0.22,0.11,0.11",,0.00,
burj khalifa details in hindi,,20,"0.75,0.25,0.75,0.25,0.25,0.50,0.25,1.00,0.25,0.25,0.25,0.25",,0.00,
burj khalifa foundation details,,20,"0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14",,0.00,
burj khalifa foundation details pdf,,20,"0.11,0.22,1.00,0.11,0.78,0.11,0.11,0.11,0.11,0.22,0.11,0.22",,0.00,
burj khalifa full details,,20,"0.14,0.14,0.43,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.43,0.14",,0.00,
burj khalifa structural design details pdf,,20,"0.14,0.14,0.14,0.71,0.14,1.00,0.14,0.14,0.14,0.14,0.29,0.29",,0.00,
bus details,,20,"0.33,0.11,1.00,0.11,0.11,0.11,0.22,0.11,0.11,0.44,0.22,0.11",,0.00,
business details,,20,"0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,
business license details,,20,"1.00,1.00,0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.40,1.00,0.20",,1.71,
bvsc course details,,20,"0.14,0.14,1.00,0.43,0.29,0.43,0.14,0.14,0.14,0.71,0.14,0.14",,0.00,
c channel detail,,20,"1.00,0.60,0.20,0.20,0.60,0.20,0.20,0.20,0.40,0.20,0.20,0.20",,0.00,
c purlin connection details,,20,"1.00,0.33,0.33,0.33,0.33,0.33,0.33,0.67,1.00,1.00,0.33,0.00",,0.00,
ca course details,,20,"0.25,0.50,0.25,0.25,1.00,0.50,0.50,0.25,0.75,0.25,0.50,0.25",,0.67,
ca course details after 12th,,20,"0.33,0.33,0.67,1.00,0.33,0.33,0.33,0.33,1.00,0.33,0.67,0.33",,0.00,
cabinet detail dwg,,20,"0.40,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20",,0.00,
cabinet door details,,20,"0.20,0.40,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.20,0.40",,0.00,
cabinet drawing details,,20,"1.00,0.20,0.20,0.20,0.20,0.60,0.60,0.20,0.40,0.20,0.60,0.20",,0.00,
cable gland details,,20,"0.11,0.11,0.11,0.11,0.22,0.22,0.22,0.22,1.00,0.11,0.11,0.11",,0.00,
cable tray installation details,,20,"0.60,0.20,0.20,0.20,0.40,0.40,0.40,0.20,0.20,0.20,1.00,0.20",,0.00,
cable tray section details dwg,,20,"0.11,1.00,0.22,0.11,0.44,0.11,0.11,0.11,0.11,0.11,0.11,0.22",,0.00,
cable tray support details,,20,"0.20,0.20,0.20,0.20,0.20,0.60,0.40,0.20,0.20,1.00,0.20,0.80",,0.00,
cable trench details,,20,"1.00,0.29,0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.43,0.14,0.14",,0.00,
cad details,,20,"0.50,0.25,0.25,0.50,1.00,0.75,0.25,0.25,0.25,0.25,0.25,0.25",,0.00,
cad details dwg,,20,"0.67,0.33,0.67,0.33,0.67,1.00,0.67,0.33,0.67,0.33,0.33,0.67",,0.00,
cage ladder details,,20,"0.11,0.11,0.11,0.22,0.11,0.11,0.11,1.00,0.11,0.22,0.78,0.11",,0.00,
call detail record,,20,"0.14,0.14,0.43,0.14,0.14,0.43,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,
call detail record analysis,,20,"0.25,0.25,0.75,1.00,0.25,0.25,0.25,0.25,0.50,0.25,0.50,1.00",,0.00,
call details of any number,,20,"0.20,0.20,0.40,0.20,0.20,0.80,0.60,0.20,1.00,0.60,0.20,1.00",,0.00,
call details online,,20,"0.14,0.14,0.29,0.14,0.43,0.14,1.00,0.14,0.14,0.14,0.14,0.57",,0.00,
caller details,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00",,0.00,
camel details,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,
camera details,,20,"0.14,0.57,1.00,0.43,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.14",,0.00,
camper detailing,,20,"0.11,1.00,0.11,0.22,0.11,0.11,0.11,0.11,0.44,0.11,0.33,0.11",,0.00,
can you please share the details,,20,"0.14,0.14,0.57,0.29,0.29,0.14,1.00,0.43,0.14,0.43,0.14,0.29",,0.00,
canada details,,20,"0.29,0.29,0.14,0.14,0.14,0.14,0.29,0.14,0.43,0.14,0.14,1.00",,0.00,
canara bank loan details,,20,"0.67,0.33,0.33,0.33,1.00,1.00,0.33,1.00,0.67,0.33,0.33,0.33",,0.00,
cancer details,,20,"0.29,0.00,0.14,0.57,0.14,0.29,0.00,0.14,0.43,0.00,1.00,0.14",,0.00,
candidate details,,20,"0.75,0.25,0.25,0.25,0.25,0.50,0.25,1.00,0.25,0.25,0.25,0.25",,0.00,
canopy cladding detail,,20,"0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.80,0.20",,0.00,
canopy detail,,20,"0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.80,0.20,0.20,0.20,0.40",,0.00,
canopy details dwg free download,,20,"1.00,0.75,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,0.50",,0.00,
cantilever beam reinforcement details,,20,"0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.29",,0.00,
cantilever slab detail,,20,"0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,1.00,1.00,0.33,0.33",,0.00,
cantilever slab reinforcement details,,20,"0.11,1.00,0.11,0.33,0.11,0.11,0.33,0.11,0.33,0.11,0.11,0.11",,0.00,
cantilever staircase reinforcement details,,20,"0.11,1.00,0.11,0.00,0.22,0.22,0.11,0.00,0.22,0.00,0.44,0.00",,0.00,
car battery details,,20,"0.33,0.33,1.00,0.67,0.33,0.67,0.67,0.33,0.33,0.33,1.00,0.33",,0.00,
car body detailing,,20,"0.33,0.67,0.67,0.33,0.33,0.33,0.33,0.33,0.33,1.00,0.33,1.00",,0.00,
car detail cleaning services,,20,"0.14,0.29,0.14,0.29,0.71,0.14,1.00,0.14,0.14,0.14,0.29,0.14",,0.00,
car detail shops near me,,20,"0.20,0.20,0.20,0.60,1.00,0.60,0.60,0.40,0.20,0.20,0.20,0.20",,1.64,
car detailing accessories,,20,"0.11,0.22,0.44,0.22,0.11,0.11,0.11,1.00,0.11,0.11,0.22,0.11",,0.00,
car detailing bangalore,,20,"0.25,1.00,0.75,0.25,0.25,0.25,0.25,0.25,0.50,0.25,0.25,0.25",,0.00,
car detailing before and after interior,,20,"0.11,0.22,0.11,1.00,0.22,0.11,0.44,0.33,0.11,0.11,0.22,0.11",,0.00,
car detailing brands,,20,"0.75,0.25,0.25,0.25,0.75,0.25,0.25,0.25,1.00,1.00,0.25,0.25",,0.00,
car detailing center,,20,"0.14,0.71,0.43,1.00,0.14,0.14,0.14,0.29,0.14,0.29,0.43,0.29",,1.75,
car detailing ceramic coating,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,1.00,0.00,0.43",,0.00,
car detailing chemicals,,20,"0.14,0.14,0.14,0.29,0.14,0.71,0.14,1.00,0.29,0.14,0.14,0.14",,0.00,
car detailing companies near me,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.43,0.14,0.14,0.14,0.14,0.14",,0.00,
car detailing company in dubai,,20,"0.14,0.14,0.57,0.14,0.14,0.29,1.00,0.43,0.14,0.14,0.14,0.29",,0.00,
car detailing compound,,20,"0.60,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.20",,0.00,
car detailing cost,,20,"0.57,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.43",,0.95,
car detailing coupons,,20,"0.80,0.20,0.20,0.60,1.00,0.20,0.40,0.20,0.20,0.20,0.40,0.60",,0.55,
car detailing course,,20,"0.11,0.11,0.11,0.11,0.11,1.00,0.22,0.44,0.11,0.22,0.11,0.11",,0.00,
car detailing deals,,20,"0.25,0.25,0.25,0.25,0.75,0.25,0.50,0.25,1.00,0.25,0.25,0.25",,1.24,
car detailing deals dubai,,20,"1.00,0.33,0.33,0.67,0.33,0.33,0.33,0.33,1.00,0.33,0.33,0.67",,0.00,
car detailing dubai groupon,,20,"0.14,0.14,0.14,0.29,0.14,0.29,1.00,0.14,0.43,0.14,0.14,0.14",,0.00,
car detailing dubai home service,,20,"0.14,0.29,0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.14,1.00,0.14",,2.10,
car detailing icon,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.33,0.11,0.11,0.78,0.11,1.00",,0.00,
car detailing jobs,,20,"0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,
car detailing jobs in dubai,,20,"0.25,0.75,0.75,0.25,0.25,0.50,0.25,0.25,0.25,0.25,0.50,1.00",,0.05,
car detailing kit,,20,"0.14,0.29,0.29,0.29,0.14,0.14,0.29,0.14,0.14,1.00,0.14,0.14",,0.51,
car detailing lights,,20,"0.20,0.20,0.60,1.00,0.40,0.20,0.40,0.80,0.20,0.20,0.20,0.20",,0.00,
car detailing logo,,20,"0.20,0.20,0.20,1.00,1.00,0.20,1.00,0.20,0.20,0.20,0.40,0.20",,0.00,
car detailing machine,,20,"0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.80,0.80",,0.00,
car detailing meaning,,20,"0.43,0.14,0.43,0.14,0.29,0.14,0.14,0.29,0.43,0.57,0.14,1.00",,0.00,
car detailing meaning in urdu,,20,"0.20,1.00,0.20,0.20,0.20,0.60,0.20,0.20,0.80,0.20,0.20,0.60",,0.00,
car detailing mississauga,,20,"0.11,0.11,0.11,1.00,0.11,0.33,0.11,0.22,0.11,0.11,0.11,0.11",,0.00,
car detailing name ideas,,20,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.43,0.14,0.14,0.43",,0.00,
car detailing names,,20,"0.67,0.33,1.00,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.67,0.33",,0.00,
car detailing offers,,20,"0.14,0.14,0.43,0.14,0.14,1.00,0.14,0.14,0.29,0.71,0.43,0.14",,1.24,
car detailing offers near me,,20,"0.11,0.11,0.22,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.22,0.11",,0.00,
car detailing ottawa,,20,"0.14,0.29,0.14,0.14,1.00,0.29,1.00,0.14,0.14,0.14,0.14,0.29",,0.00,
car detailing photos,,20,"0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.43,0.14,1.00,0.14,0.14",,0.00,
car detailing price list template,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.43,0.14,0.14",,0.00,
car detailing prices,,20,"0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00",,0.95,
car detailing process,,20,"0.14,0.29,0.29,0.29,0.14,0.14,0.29,0.14,1.00,0.14,0.14,1.00",,0.00,
car detailing products dubai,,20,"0.20,0.20,1.00,0.40,0.20,0.20,0.20,0.20,0.60,1.00,0.40,0.20",,1.05,
car detailing products near me,,20,"0.14,0.29,0.29,1.00,0.14,0.29,0.29,0.29,0.14,0.29,0.14,0.29",,0.00,
car detailing service center in dubai,,20,"1.00,0.20,0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.20,0.40,1.00",,0.00,
car detailing service in dubai,,20,"0.14,0.71,0.29,1.00,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.14",,0.00,
car detailing services in dubai,,20,"0.40,0.20,0.20,0.20,0.60,0.20,0.60,0.20,0.20,1.00,0.20,0.40",,1.84,
car detailing set,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14",,0.00,
car detailing showroom,,20,"0.25,0.25,0.75,0.50,0.25,0.25,0.25,0.25,1.00,0.25,1.00,0.25",,0.00,
car detailing software,,20,"0.11,0.11,0.33,0.11,0.11,0.11,1.00,0.11,0.11,0.00,0.00,0.00",,0.00,
car detailing spray,,20,"0.14,0.29,0.14,0.14,0.29,0.14,0.29,0.43,0.14,1.00,0.29,0.14",,0.21,
car detailing steps,,20,"0.71,0.29,0.14,1.00,0.14,0.29,0.14,0.29,0.71,0.14,0.14,0.14",,0.00,
car detailing store near me,,20,"0.20,0.80,0.20,0.60,0.20,1.00,0.40,0.20,0.20,0.20,1.00,0.20",,0.00,
car detailing supplies,,20,"0.11,0.33,1.00,0.33,0.11,0.11,0.11,0.56,0.11,0.11,0.22,0.11",,0.00,
car detailing supplies near me,,20,"0.50,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.75,0.50,0.75,0.50",,0.00,
car detailing tape,,20,"0.20,0.20,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.20,1.00,0.20",,0.00,
car detailing tools,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.43,0.14,0.14,0.14,0.14",,0.37,
car detailing vacuum,,20,"0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.40,0.20,0.20,0.40",,0.00,
car detailing what is it,,20,"0.20,0.20,0.20,0.20,0.20,0.60,0.20,1.00,0.60,0.20,0.20,0.60",,0.80,
car detailing workshop,,20,"0.25,0.25,0.25,0.50,0.50,1.00,0.75,0.25,0.25,0.25,0.25,0.25",,0.00,
car details by vin number,,20,"0.14,0.14,0.14,0.14,0.29,0.14,0.14,1.00,0.14,0.43,0.14,1.00",,0.00,
car details with chassis number,,20,"0.22,0.11,0.78,0.11,0.11,1.00,0.22,0.11,0.11,0.11,0.11,0.11",,0.11,
car full detail near me,,20,"0.11,0.11,0.11,0.11,0.22,0.11,0.33,1.00,0.33,0.11,0.11,0.11",,0.00,
car interior cleaning and detailing,,20,"0.25,0.25,0.75,0.25,1.00,0.50,0.25,0.25,1.00,0.25,0.25,0.25",,0.00,
car interior detailing abu dhabi,,20,"0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25,1.00,0.25,0.25",,0.92,
car interior detailing products,,20,"0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.25",,0.42,
car interior detailing sharjah,,20,"0.60,0.40,1.00,0.20,0.20,0.60,0.40,0.20,0.20,0.20,0.80,0.60",,0.97,
car loan details hdfc bank,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.29,1.00,0.43,0.14,0.14,1.00",,0.00,
car number plate details,,20,"0.71,0.14,0.14,0.14,0.43,0.14,0.14,0.14,0.29,0.14,1.00,0.14",,0.00,
car owner details dubai,,20,"0.33,0.22,0.11,0.11,1.00,0.11,0.11,0.11,0.22,0.11,0.11,0.11",,0.00,
car owner details kerala,,20,"0.14,0.43,0.14,0.14,0.29,0.14,0.14,0.14,1.00,0.14,0.14,0.14",,0.00,
car owner details pakistan,,20,"0.67,0.33,0.33,1.00,0.33,0.67,1.00,0.67,0.33,0.33,0.67,0.33",,0.00,
car parking shade details,,20,"0.00,0.00,0.11,0.44,0.00,0.44,0.00,0.11,1.00,0.00,0.44,0.00",,0.00,
car registration details online,,20,"0.20,0.40,0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.20,0.20,1.00",,0.00,
car rental details,,20,"0.14,0.29,0.71,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.29,0.71",,0.00,
car seat detailing,,20,"0.25,1.00,0.25,1.00,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.00",,0.00,
car service details,,20,"0.00,0.00,0.11,1.00,0.56,0.11,0.11,0.11,0.56,0.22,0.11,0.00",,0.00,
car vehicle details,,20,"0.29,0.14,1.00,0.14,0.29,0.14,0.43,0.14,0.57,0.29,0.29,0.14",,0.00,
car wash vs detailing,,20,"0.11,0.11,0.11,0.78,0.11,0.22,0.11,0.11,0.22,0.11,1.00,0.11",,0.00,
cargo details,,20,"0.33,0.33,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.11,1.00,0.11",,0.00,
carlo scarpa details,,20,"0.40,0.20,0.20,0.20,1.00,0.20,0.20,0.80,0.20,0.20,0.40,1.00",,0.00,
carpet details,,20,"0.25,0.25,0.25,1.00,0.50,0.75,0.25,0.50,0.25,0.25,0.25,0.50",,0.00,
carpet installation detail,,20,"0.14,0.43,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.29,0.14",,0.00,
carrefour contact details,,20,"0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.14,0.29",,0.00,
carrefour uae contact details,,20,"0.14,0.14,0.14,0.14,0.14,0.43,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,
carton details,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.78",,0.00,
cash details,,20,"0.20,0.20,1.00,0.20,1.00,0.40,0.20,0.20,0.80,0.20,0.20,0.40",,0.00,
cashier details,,20,"0.11,0.11,1.00,0.11,0.00,0.11,1.00,0.00,0.11,0.00,0.00,0.00",,0.00,
cat details,,20,"0.14,0.14,0.14,0.57,0.14,0.14,0.14,0.14,0.57,1.00,0.14,0.14",,0.00,
catch basin detail drawing,,20,"0.14,1.00,0.14,0.29,0.57,0.14,0.14,0.14,0.14,0.14,0.29,0.14",,0.00,
catch basin details dwg,,20,"0.22,1.00,0.11,0.33,0.11,0.11,0.33,0.11,0.11,0.11,0.56,0.11",,0.00,
catwalk construction details,,20,"1.00,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.40,0.20,0.40,0.60",,0.00,
cavity tray detail,,20,"0.11,0.11,0.22,0.11,0.11,1.00,1.00,0.11,0.11,0.11,0.11,0.11",,0.00,
cavity wall construction details,,20,"0.11,0.33,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00",,0.00,
cavity wall detail,,20,"0.20,0.40,0.20,0.20,0.80,0.40,1.00,1.00,0.20,0.20,0.20,0.20",,0.00,
ccna course details,,20,"0.11,0.11,0.33,0.11,0.11,0.22,0.11,0.22,0.11,1.00,0.11,0.33",,0.00,
cctv camera details,,20,"0.14,0.71,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",,0.00,
cctv camera installation details,,20,"0.75,0.25,0.25,0.25,1.00,0.50,0.25,0.25,0.50,0.50,0.50,0.25",,0.00,
cctv details,,20,"0.11,0.22,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,
cctv installation details,,20,"0.14,0.57,0.14,0.14,0.14,0.14,0.57,0.14,0.29,1.00,0.71,0.14",,0.00,
cdr call detail record,,20,"0.14,1.00,0.14,0.14,0.43,0.43,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,
cebu pacific booking details,,20,"0.25,0.75,0.25,0.25,0.50,0.25,1.00,0.25,0.25,0.25,0.25,0.25",,0.00,
cebu pacific check booking details,,20,"0.71,0.14,0.14,0.14,0.29,0.14,0.14,0.14,1.00,0.14,0.14,0.43",,0.00,
cebu pacific contact details,,20,"0.14,0.29,0.14,0.14,0.29,0.14,1.00,0.14,0.14,0.14,0.14,0.14",,0.00,
cebu pacific flight details,,20,"0.75,0.25,0.25,1.00,0.25,0.25,0.25,0.25,0.75,0.25,0.25,0.25",,0.06,
cebu pacific flight details check,,20,"0.14,0.43,0.14,0.43,0.14,0.29,1.00,0.14,0.14,0.14,0.29,0.14",,0.00,
ceiling access panel detail,,20,"1.00,0.20,0.60,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.20",,0.00,
ceiling access panel detail dwg,,20,"0.14,0.14,1.00,0.14,0.14,0.14,0.57,0.14,0.14,0.29,0.14,0.14",,0.00,
ceiling cove details,,20,"0.20,0.80,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.80",,0.00,
ceiling detail cad,,20,"0.11,0.56,0.33,0.11,0.00,0.00,0.00,0.33,1.00,0.00,0.00,0.00",,0.00,
ceiling detail drawing,,20,"1.00,0.11,0.22,0.11,0.11,0.11,0.78,0.22,0.11,0.11,0.11,0.11",,0.00,
ceiling detail section,,20,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.60",,0.00,
ceiling details dwg free download,,20,"0.71,0.29,0.14,0.14,0.14,0.29,0.14,0.29,1.00,0.71,0.14,0.14",,0.00,
ceiling expansion joint details,,20,"1.00,0.25,0.50,0.25,0.75,0.25,0.75,0.25,0.25,0.75,0.25,0.25",,0.00,
ceiling section detail,,20,"0.14,0.57,0.14,0.14,0.29,0.14,0.14,0.14,1.00,0.71,0.14,0.14",,0.00,
cell details,,20,"0.20,0.80,0.40,0.20,0.60,0.40,0.20,1.00,0.20,0.20,0.20,0.20",,0.00,
ceramic coating detailing,,20,"0.25,0.00,1.00,1.00,0.25,0.25,0.00,0.50,0.50,0.75,0.75,0.00",,0.00,
ceramic tile details,,20,"1.00,0.11,0.11,0.78,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22",,0.00,
certificate details,,20,"0.71,0.14,0.14,0.43,0.14,0.14,0.71,1.00,0.14,0.14,0.14,0.14",,0.00,
certified internal auditor course details,,20,"0.20,0.40,0.60,0.20,0.20,0.20,0.20,0.20,0.20,0.20,1.00,0.20",,0.00,
certified management accountant course details,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.29,0.43,1.00",,1.77,
certified public accountant course details,,20,"1.00,0.44,0.11,0.11,0.33,0.33,0.11,0.11,0.11,0.11,0.11,0.33",,0.00,
cfa details,,20,"0.25,0.25,1.00,0.25,0.25,0.50,1.00,1.00,0.25,0.25,0.25,0.00",,0.00,
cfa exam details,,20,"0.20,0.20,1.00,0.40,0.20,0.20,1.00,0.20,0.20,0.40,0.20,0.40",,0.00,
cfe course details,,20,"0.80,0.40,0.20,0.20,0.20,1.00,1.00,0.20,0.20,0.40,0.20,0.00",,0.00,
chain block parts details,,20,"0.11,0.22,0.11,0.11,0.11,0.11,0.11,0.11,0.78,0.11,1.00,0.22",,0.00,
chain link fence details,,20,"0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75,0.25,1.00,0.75",,0.00,
chain link fence drawing details,,20,"0.43,0.43,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.43,0.71",,0.00,
chair details,,20,"0.25,0.25,0.25,0.25,1.00,0.25,0.75,1.00,0.25,0.25,0.25,0.25",,0.00,
change billing details netflix,,20,"0.14,0.14,0.29,0.43,0.71,1.00,0.14,0.29,0.14,0.14,0.00,0.00",,0.00,
change company details,,20,"1.00,0.40,0.60,0.20,1.00,0.40,0.20,0.40,0.20,0.60,0.20,0.20",,0.00,
change details,,20,"0.40,0.20,0.20,0.40,0.20,0.80,1.00,0.20,0.60,0.40,0.20,0.60",,0.00,
change of bank details,,20,"0.25,0.25,0.75,0.25,0.50,0.25,0.50,0.25,0.25,0.25,1.00,0.25",,0.00,
change of bank details letter,,20,"0.11,0.11,0.56,0.11,0.11,0.22,0.11,1.00,0.11,0.11,0.11,0.11",,0.00,
change of bank details letter to customers,,20,"0.20,1.00,0.20,0.20,1.00,0.20,0.20,0.20,0.00,0.00,0.80,0.00",,0.00,
